wall_time,stage_index,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
1789205973.5855887,4,0.018937236818120814,11.9443676265501,0.4110300265822072,0.016303923269248483,0.07635242331981464,1.594505089364268
1789205973.631721,4,0.018695904890146595,11.954426013296645,0.4108813113102493,0.016461358318228425,0.07703035082034071,1.593250703301328
1789205973.6812575,4,0.018464551064364048,11.965405473465966,0.4106858319257713,0.01674059592868765,0.07791495868080735,1.5920915152245212
1789205973.731994,4,0.018277713837399272,11.976416593137854,0.41051183804731517,0.016886494919985014,0.07859424204265254,1.5906867791089891
1789205973.7811437,4,0.018122150984287943,11.987456023765864,0.4104119202823963,0.017231513216799006,0.07938008234883652,1.5894288277373578
1789205973.8314872,4,0.017956681444431143,11.998523207451777,0.4102849573458094,0.017576658374917422,0.08030125240041468,1.5882038742317128
1789205973.8818169,5,0.017762380501005613,12.009597210151254,0.4101696267880596,0.01772964821209547,0.08095776790528482,1.5868474098767482
1789205973.9310484,5,0.017585554433681136,12.020669687648091,0.41007233210687133,0.018013434812219845,0.08140415683791045,1.585726604766714
1789205973.9890275,5,0.01750389267578291,12.02821034356066,0.40999674224532817,0.018423149871850182,0.08173389647577375,1.5853879210739525
1789205974.0357437,5,0.01726843460662175,12.043696344789655,0.40986826134866106,0.019047427722726672,0.08217846842467058,1.585002845520408
1789205974.0820222,5,0.017142765887009897,12.053854976341068,0.40975829339015507,0.01953798645178959,0.0823753100911556,1.585129251471023
1789205974.13145,5,0.016944380538255137,12.064866701715877,0.40963969863292177,0.019968423029813148,0.08248763067261972,1.5854100855399558
1789205974.181482,5,0.016739423976223564,12.075847183382288,0.40957979163204167,0.020497425438368872,0.08248901443030494,1.5859726222348354
1789205974.231924,5,0.016455368947990854,12.086788001683225,0.4095196631942355,0.020754393288841134,0.08234038316381342,1.5865186199707106
1789205974.281593,5,0.016138298157606847,12.097669446990281,0.40951464728606113,0.020946375450114404,0.08216210285551176,1.5870377027434381
1789205974.3319566,5,0.01581198438525437,12.108389099856936,0.4095557765465134,0.02159934733897101,0.08308924026811938,1.5886758925305664
1789205974.3812628,5,0.015544222144026785,12.11876724827783,0.40971729798941453,0.022621533991973447,0.08409978971376222,1.5913017936073235
1789205974.431161,5,0.015274494582592828,12.128720253682063,0.4098076725462609,0.023840806168472745,0.08533600288512351,1.5953839075244642
1789205974.492423,5,0.015087627765324038,12.1362947037675,0.40996104881776874,0.02480207255099967,0.0859514382707246,1.5994676033465203
1789205974.5413964,5,0.014734980570049811,12.14858597039379,0.4102452596300158,0.027217736905094214,0.08740114191043774,1.60752760217062
1789205974.5913086,5,0.014425983672323745,12.156450668348079,0.41048562017235213,0.028877757778152137,0.0884149642052953,1.6130666252127455
1789205974.6419675,5,0.01409265351863384,12.163465952979836,0.41067826977194405,0.02993996001322967,0.0889030893749705,1.6180522036417724
1789205974.6920555,5,0.013762512527905944,12.169644009426829,0.41078833090530553,0.03130159040957667,0.08849785242210118,1.621995746597963
1789205974.7417798,5,0.013419238198731323,12.175103600555074,0.4109008541125937,0.03213871067844659,0.08736528480525564,1.6252432848691714
1789205974.791766,5,0.01303529971661764,12.180108168847433,0.411023442751129,0.032218982264732444,0.08505728232206143,1.627634742551155
1789205974.8409424,5,0.01255912173393286,12.184823965302419,0.41117306702484385,0.03163578856440396,0.08294771517727881,1.6297085142951742
1789205974.8916237,5,0.012024937980429994,12.18936141937522,0.41133896382599017,0.031146228178777654,0.08042788512065822,1.6310710264609931
1789205974.9411578,5,0.011317546340386004,12.19385355375504,0.4115305652002418,0.029915250610132612,0.07786901473465871,1.631376789040714
1789205974.988496,5,0.010911699006393882,12.196562440407652,0.4115991519536369,0.029376151590092485,0.07629731567261373,1.6316664490136155
1789205975.035433,5,0.009904663730841309,12.202415639781453,0.4118261177231577,0.02763411349159633,0.07332101697714845,1.631275057396617
1789205975.0818636,5,0.009256084700117628,12.206740670829841,0.41194829358368656,0.02658099679081576,0.07128587039667392,1.6311240833190062
1789205975.1313367,5,0.008612209063083822,12.211630169836399,0.4121468693314402,0.025519849175949714,0.06960802656462887,1.630411772751613
