wall_time,x_m,y_m,z_m,roll_rad,pitch_rad
1789203268.4000766,0.8815884444533985,4.772123918812295,1.9946605883003148,0.011791645229428764,-0.11235902406768099
1789203268.4056647,0.8815848789925693,4.772461269579454,1.9947970062315983,0.01172041037758037,-0.11182000080265891
1789203268.4101484,0.8815820129332684,4.772684960040805,1.9948869366950952,0.011672374213001078,-0.11146196516038935
1789203268.4158573,0.8815770014861031,4.773018642704373,1.995020350596883,0.011599515507992025,-0.11092710608083911
1789203268.4202433,0.8815732008388302,4.773239837462839,1.9951083263448322,0.011550427049791846,-0.11057212370074807
1789203268.425877,0.8815668407551066,4.773569692467578,1.9952388712706717,0.011476086005532396,-0.11004220992849244
1789203268.4306011,0.8815621809340561,4.773788276135229,1.9953249722392965,0.011426101061346358,-0.10969072609071501
1789203268.4363909,0.8815545977459507,4.774114123191027,1.9954527571909824,0.011350578103954963,-0.10916631747393823
1789203268.439614,0.8815491689480107,4.774329973846405,1.99553705102404,0.011299921500999075,-0.1088186581663407
1789203268.446216,0.8815405056020716,4.77465163077931,1.9956621717108594,0.011223572697349703,-0.10830019754478275
1789203268.4496534,0.8815344059803976,4.774864643258759,1.9957447198587783,0.011172488922564353,-0.10795663563449627
1789203268.4564185,0.8815248126289832,4.775181977527517,1.9958672655385288,0.01109564898061456,-0.10744449020033459
1789203268.4599006,0.8815181446949324,4.775392065238426,1.9959481248057143,0.011044354178153434,-0.10710524780612092
1789203268.4658303,0.8815077820774074,4.775704907174226,1.9960681731945509,0.010967413527581734,-0.1065997517610036
1789203268.470256,0.8815006587931241,4.77591191784041,1.9961473885950531,0.010916191906096922,-0.10626505407564334
1789203268.4760137,0.8814896954652186,4.776220068231153,1.9962650020619939,0.01083956431911919,-0.10576654228048245
1789203268.4805944,0.88148222649674,4.7764239025090625,1.9963426128789914,0.010788671975501648,-0.10543660641397921
1789203268.4861844,0.8814708262945143,4.776727218355231,1.9964578445824666,0.010712717839890683,-0.10494539298633578
1789203268.4896455,0.8814631199737165,4.776927784741324,1.996533882648274,0.010662392770817023,-0.10462042493894268
1789203268.4956253,0.8814514432961558,4.77722613445506,1.9966467751661896,0.010587463714218075,-0.1041368141303691
1789203268.5004463,0.8814436047344051,4.777423348931497,1.996721265585819,0.010537935741961112,-0.10381701364325246
