wall_time,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,vx_mps,vy_mps,wz_rps
1789204158.232681,0.6269545540331343,14.196911164613459,0.6384515793192719,0.0518604289787707,-0.03841906338325414,1.4745575292295854,0.024074615938880297,0.19691289935410866,0.002781355702318579
1789204158.236442,0.6270546764925387,14.197700061695778,0.6385944791775409,0.05190456705663067,-0.038368347095315516,1.4745564047716244,0.02575540801134757,0.197810328940564,-0.0027337676716969973
1789204158.242358,0.6272049483659398,14.198883642611273,0.6388119505767991,0.052002602388868675,-0.03826901912648528,1.4745234221790444,0.025603708568792464,0.1978650318855556,-0.00809460895968926
1789204158.246205,0.6273054244253035,14.199673888418559,0.6389583959590737,0.05206982241925279,-0.038209705355161716,1.474486542437047,0.025627374875295254,0.19800088721770717,-0.01051366447408852
1789204158.2521317,0.6274546489231133,14.200860795010641,0.6391823968676117,0.05216096219623808,-0.038157897717028835,1.4744191242166835,0.025090563679230182,0.1979728299398948,-0.012198288262352445
1789204158.256675,0.6275466756943523,14.201654145632242,0.639331720949245,0.052164713852903194,-0.03817098043187547,1.4743474853114564,0.022133146202912096,0.1979951177086708,-0.022840842060965715
1789204158.2626073,0.6276825856017455,14.202846051263764,0.6395564473711,0.052119650245625516,-0.03824792553194391,1.474223147472379,0.02172044307583605,0.19806263142762862,-0.018694398117562336
1789204158.266381,0.6277710434440334,14.203642255989685,0.6397066548094655,0.05208617154438301,-0.03832347733529465,1.474151559678329,0.021441298356333006,0.19825314036484848,-0.016292618882095617
1789204158.2721708,0.6279010838751078,14.204837350632024,0.6399362338614738,0.052018616737797896,-0.038407913934648395,1.4740430647900749,0.02069863309955325,0.19878954471920285,-0.01653138425035726
1789204158.2757738,0.6279856485368617,14.205636793767873,0.64008673376023,0.051977603361815804,-0.03843237943105837,1.4739809783495692,0.020682003091512975,0.19929232210986358,-0.01468996437141426
1789204158.2819452,0.628114193215302,14.206836978495536,0.6403133768266015,0.05193080109546638,-0.03840351782416546,1.4739065727711782,0.02094100219168387,0.20023932659429966,-0.011788318051686501
1789204158.2859685,0.6282030478564138,14.207636678382432,0.6404665516452961,0.0519310820895326,-0.038382985701238555,1.473865961304398,0.021837305457952184,0.2001487049618299,-0.009958129658148957
1789204158.292043,0.6283423107843903,14.208836510978472,0.6406986006931509,0.05196754914247443,-0.03835592868173686,1.473816269281853,0.02335503076330686,0.20006947115397816,-0.007778079867351696
1789204158.2969713,0.6284393069482688,14.209637692903742,0.6408535387512465,0.05201248564556367,-0.03834950161301449,1.473790402679922,0.024401957912969875,0.20019587217470217,-0.006106036496288478
1789204158.3028343,0.6285877493990036,14.210841344395034,0.6410855777122801,0.05209703277858147,-0.038369139361417594,1.4737620614929476,0.02521006999505799,0.200285170581664,-0.003728186211482232
1789204158.3065455,0.6286895025424897,14.211646677134874,0.6412321937874256,0.0521616045804006,-0.03843775051822653,1.473760718938739,0.02632451753540965,0.20012846851654845,0.0040945637338418595
1789204158.3126984,0.6288376530435051,14.212856553434083,0.6414526123900871,0.05224808469023111,-0.03857863505395494,1.4737614295521448,0.02500976225692729,0.20069350088745216,-0.000808756759738298
